req,labels
The leads washing functionality will verify the users authentication and rights to make parameter updates.,O O O O O O O O O O O O O O O O
The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,O O O O O O O O O O O O O O O O
Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,O O entity O entity O O O O O O O O O O O entity O O O O O
The leads washing functionality shall receive a period list of available reps from the enterprise system.,O O O O O O O O O O O O O O O O O
The product shall maintain a list of players.,O entity O relashionship O entity O O O
The product shall allow a user to identify himself or herself as a player.,O entity O relashionship O entity O O O O O O O entity O
Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.,O O entity O O relashionship O entity O relashionship O O O O O entity O O entity O O entity O O O
The product shall allow a user to remove himself or herself from the list of players at any time.,O entity O relashionship O entity O O O O O O O entity O O O O entity O
The product shall make inactive players unavailable for selection from the list of players.,O entity O O O O O O entity O O entity O O O
The product shall remove players who have been inactive for 24 hours from the list of players.,O entity O relashionship O O O O O O O O O O entity O O O
The product shall allow a player to initiate a game by selecting another available player from the list of players.,O entity O relashionship O entity O relashionship O entity O entity O O entity O O entity O O O
Once a game is initiated  the product shall display a defensive grid to each player,O O entity O relashionship O entity O O O O entity O O entity
Once a game is initiated  the product shall display an offensive grid to each player.,O O entity O relashionship O entity O O O O entity O O entity O
The product shall prevent a player from viewing the offensive or defensive grids of the other player.,O entity O relashionship O entity O entity O O O O attr O O O entity O
Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,O O entity O relashionship O entity O relashionship O entity O entity O O O O O O O O O
The product shall allow a player to position ships horizontally on their grid.,O entity O relashionship O entity O O O O O O entity O
The product shall allow the player to position ships vertically on their grid.,O entity O relashionship O entity O O O O O O entity O
The product shall allow the player to position ships diagonally on their grid,O entity O relashionship O entity O O O O O O entity
The product shall prevent the player from overlapping ships on their grid.,O entity O relashionship O entity O O O O O entity O
When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,O O O O O O O O O O O O O entity O relashionship O entity O O entity O O O entity O
For each turn  the product shall identify one player as offensive status and one player as defensive status.,O O entity O entity O O O entity O O entity O O entity O O entity O
The product shall maintain the status of each player for a turn  either offensive or defensive.,O entity O relashionship O entity O O entity O O entity O O O O O
At the start of each turn  the product shall notify each player of his or her status.,O O entity O O entity O entity O relashionship O entity O O O O entity O
For each turn  the product shall allow the offensive player to define a shot.,O O entity O entity O O O O entity O relashionship O entity O
For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,O O entity O entity O O O O entity O O O entity O O O O entity relashionship O entity O entity O
For each shot  the product shall notify the players whether the shot was a hit or miss.,O O entity O entity O relashionship O O O O entity relashionship O entity O entity O
For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,O O entity O entity O relashionship O entity O O entity O O O O O entity O O O entity O
For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,O O entity O entity O relashionship O entity O O entity O O O O O entity O O O entity O
When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,O O O O O entity O entity O entity O relashionship O O O O entity relashionship entity O
When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,O O O O O entity O entity O entity O relashionship O entity O entity O O O entity O O O entity O
When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,O O O O O entity O entity O entity O relashionship O entity O entity entity O O O entity O O O entity O
When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,O O O O O entity O entity O entity O relashionship O entity O entity O O O entity O O O entity O
If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,O O entity O O O O entity O entity O O O O entity O relashionship O entity O
If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,O O entity O O O O entity O entity O relashionship O entity O O O entity O O
If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,O O entity O O O O entity O entity O relashionship O entity O O O entity O O
The product shall continue to assign turns until the game is ended.,O entity O O O relashionship O O O entity O O O
The product shall end a game when a hit by the offensive player results in sinking the last of the defensive playerÃ¯Â¿Â½s ships  which had not been previously marked as sunk.,O entity O relashionship O entity O O entity O O O O O O entity O attr O O O O O O O O O O O O O O
The product shall allow a player to end a game at any time during the game.,O entity O relashionship O entity O relashionship O entity O O entity O O entity O
When a game is ended  the product shall notify the players that the game is ended.,O O entity O relashionship O entity O relashionship O O O O entity O relashionship O
The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).,O entity O relashionship O entity O O entity O relashionship O entity O O
When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,O O entity O relashionship O entity O relashionship O entity O O O O O O O O entity O O entity O O O
When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,O O entity O relashionship O entity O relashionship O entity O O O O O O O entity O O O
The system shall allow a real estate agent to query MLS information,O O O O O O O O O O O O
The user shall be able to get driving directions to a selected property,O entity O O O O O O O O O relashionship entity
The user shall be able to download appointments and contact information for clients,O entity O O O O relashionship O O O O O O
The system shall display clear property images in the search results,O O O O O O O O O O O
The system shall be able to call the seller or buyer to schedule an appointment,O O O O O O O O entity O entity O relashionship O entity
The realtor shall be notified of new client appointments after automatic synchronization with office system,O entity O O attr O O O O O O entity O O O
The realtor shall be able to retrieve a map showing property locations for a specified area,O entity O O O O O O O O O O O O O entity
The system shall notify the realtor when a seller or buyer responds to an appointment request,O O O O O entity O O entity O O O O O O O
The product shall allow the user to save the property search results.,O entity O relashionship O entity O relashionship O O O O O
A cohort shall be associated to one Program of Study offered by the department.,O entity O O O O O attr O O O O O entity O
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,O O O O O O O O O O O O entity O O O O entity O
Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,O O O O O O O O O O O O O entity O O entity
Students added to a cohort shall be eligible for the cohortÃ¯Â¿Â½s Program of Study.,O O O O entity O O O O O O attr O O O
Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,O O O O O O O O O O O O O entity O O O O relashionship entity O
For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,O O entity O O entity O O entity O O O O O O O O O O O O entity O entity O O O O
For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,O O entity O O entity O O entity O O O O O O O O O O O O entity O entity O O O O
Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,O O O O O O O O O O O O O O O entity O O
The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,O O O O entity O O O O O O O O O O O
The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,O O O O O O O O O O O O O O O O O O O O O O
The system shall allow modification of the display.,O O O O entity O O entity O
The system shall offer a display of all the Events in the exercise.,O O O O O entity O O O O O O entity O
The system shall filter data by: Venues and Key Events.,O O O O entity O O O O O O O
The system shall allow a user to define the time segments,O O O O O entity O O O O O
The system shall display the local and exercise time in separate clocks,O O O O O O O O O O O O
The system shall offer the ability to pause and resume the refresh of data.,O O O O O entity O O O relashionship O entity O entity O
The system shall provide charts for the Activity or Event actual versus assumed time.,O O O O O O O O O O O entity relashionship entity O
The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,O O O O O O O O O O O attr O O O O O O O
The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,O O O O O O O O O O O O O O O O attr O entity O O O entity O O O O entity O O O O
The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,O O O O O O O O O O O O O O O O O O O O O O O O O
The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O entity O
The system shall display Events or Activities.,O O O O O O O O
The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,O entity O O O O O O attr O O entity O O O attr O O entity O O O O
The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,O entity O O O O O O O entity O O O O O entity O O O entity
The table side of the display shall be split into 2 regions: sequential and temporal.,O O entity O O entity O O O O O O O O O O O
The top 1/4 of the table will hold events that are to occur sequentially.,O O O O O entity O relashionship O O O O O O O
The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,O O O O O entity O relashionship O O O entity O O entity O O entity O
The system shall color code events according to their variance from current time.,O O O O O O O O O entity O O entity O
The system shall provide a history report of changes made to the Activity or Event data,O O O O O O O O O O O O O O O entity
The system shall update or create new property listings in the MLS,O O O O O O O O O O O O
Realtor shall be able to generate a CMA report based on property criteria,O O O O O O O O entity O O attr O
Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,O O O O O O O O O O O O O O O O O entity O O
Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,O O O O O O O O O O O O O entity O O O O O O entity O entity O
Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,O O O O O O O O O O O O O O O O O O O O O
A class shall be either a non-clinical class or a clinical class.,O entity O O O O O entity O O O entity O
A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,O O entity O relashionship O O attr O O O O O O O
A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,O O entity O relashionship O O attr O O O O O O O O O O O O O O O
Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,O O O O O O O O O O O O O O O
A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,O O O O O O O O O O O entity O O O O O O O O O O O O O O
Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,O O O O O O O O O entity O O O O O O O O O O O
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff MembersÃ¯Â¿Â½ planning purposes.,O O O O O O O O entity O O O O O relashionship entity O O attr O O O O O O O O O O O
The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,O entity O relashionship O O O O O O O O O O O O O relashionship entity O O relashionship entity O O relashionship O O O relashionship O
Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,O O O O entity O O O O attr O O entity O entity O O O O O
Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,O O O O O O O O O O O O O O entity O O O O
Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,O O O O O O O O O O O O O entity O O O O O O O O O
Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,O O O O O O O O O O O O O O O O O O entity O entity O O O O
A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,O O entity O O O O O O attr O O O O O entity O O entity O
Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,O O O O O O O O O O O O entity O O O O O O entity O O O O O O O entity O
The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,O O O O O O O O O O O O relashionship O entity O O O O O O
The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,O O O O O O O O O O O O entity O O O O O O O O O O O O O O O entity O
Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,O O O O O O O O O O O O O O O O relashionship O attr O O O O O O O
A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,O O O O O O O O O O O O O O O O O O
A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,O O O O relashionship O entity O relashionship O entity O O O O O O O entity O entity O O O entity O O O
The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,O O O O O O O O O entity O O O O O relashionship O O O O O O O attr O O entity O O O entity O entity O entity O
The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,O O O O O O O O O entity O O O O O O O O O O O O O O entity O O relashionship entity O O entity O O O O O O O O O O attr O O O O O O O
The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,O O O O O O O O O entity O O O O O O O O O O O O O O attr O attr O O O O O O O O O O O O entity O entity O
The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,O O O O O O O O O entity O O O O O O O O O O O O O O attr O attr O O O O O O O O entity O O attr O O O O
The system shall be able to display a printable summary of the system log.,O O O O O O O O O entity O O O O O
The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,O O O O O O O O O O O O O O entity O O O O O O O O O O O O O O O O O O O O O O O O
The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohortÃ¯Â¿Â½s program of study and changes to a given weekÃ¯Â¿Â½s schedule (lab cancelled this week due to instructor illness).,O O O O O O O O O O O O O O O O O O O entity O O O entity O entity O O O O O O O O entity relashionship O entity O O relashionship entity O O
The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a studentÃ¯Â¿Â½s status from full time to part time and moving a student to a different clinical section.,O O O O O O O O O entity O O O O O O O entity O O entity O O entity O O entity O entity O entity O O O O entity O
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,O O O O O O O entity O O O O O O relashionship entity O entity O entity O entity O O O O O O entity O O entity O O O
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department  including the Program of study name  and required classes for that Program of Study.,O O O O O O O entity O O O O O O O O O O O O O entity O O O O attr O O O O O O O O O
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.,O O O O O O O entity O O O O O O O O entity O O O attr O O O O O O entity O
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name  the department/section for the lab  the class  instructor  day and time of lab  and contact information.,O O O O O O O entity O O O O O O O O O entity O O O attr O entity O O entity O O O O O entity O entity O O O O
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  e-mail  status (full time or part time)  and program of study.,O O O O O O O entity O O O O O O O O O O O O attr O O O entity O O entity O O entity O O entity O entity O
