req,pos,labels
The system shall have a MDI form that allows for the viewing of the graph and the data table.,DET NOUN AUX VERB DET PROPN NOUN PRON VERB ADP DET NOUN ADP DET NOUN CCONJ DET NOUN NOUN PUNCT,O O O O O O entity O O O O entity O O entity O O O O O
The system shall display Events in a vertical table by time.,DET NOUN AUX VERB NOUN ADP DET ADJ NOUN ADP NOUN PUNCT,O O O O O O O O entity O entity O
The system shall display the Events in a graph by time.,DET NOUN AUX VERB DET NOUN ADP DET NOUN ADP NOUN PUNCT,O O O O O O O O entity O entity O
The Disputes System must be accessible by both internal and external users.,DET PROPN PROPN AUX AUX ADJ ADP CCONJ ADJ CCONJ ADJ NOUN PUNCT,O O O O O O O O O O O O O
The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,DET PROPN PROPN AUX VERB NOUN ADP VERB DET NOUN NOUN PRON AUX PART VERB ADP PRON NOUN NOUN PUNCT,O O O O O O O entity O O O O O O O O O O O O
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,DET PROPN PROPN AUX VERB ADJ NOUN NOUN ADP DET NOUN NOUN ADP DET NOUN NOUN PRON VERB ADJ NOUN NOUN ADP DET NOUN PUNCT,O O O O O O O O O O O O O O entity entity O O O O O O O O O
The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,DET PROPN PROPN AUX VERB ADJ NOUN ADP NOUN ADP NOUN ADP NOUN NOUN NOUN CCONJ VERB PUNCT ADP NOUN PUNCT,O O O O O O attr O entity O entity O O O O O O O O
The Disputes System shall provide view access capability for authorized users of the application.,DET PROPN PROPN AUX VERB NOUN NOUN NOUN ADP ADJ NOUN ADP DET NOUN PUNCT,O O O O O O O O O O attr O O entity O
The Disputes System shall provide update access capability for authorized users of the application.,DET PROPN PROPN AUX VERB NOUN NOUN NOUN ADP ADJ NOUN ADP DET NOUN PUNCT,O O O O O O O O O O attr O O entity O
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,DET PROPN PROPN AUX VERB DET NOUN PART VERB ADJ NOUN PUNCT VERB ADP DET NOUN ADP DET NOUN PUNCT ADP DET NOUN NOUN CCONJ VERB DET NOUN PUNCT NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT ADP DET VERB NOUN PUNCT,O O O O O O O O O O O O O O O entity O O entity O O O entity entity O relationship O entity O O O O O O O O O O relationship entity O
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,DET PROPN PROPN AUX VERB DET NOUN DET NOUN PART VERB DET ADJ NOUN NOUN ADP ADJ NOUN PRON VERB ADP DET ADJ NOUN PUNCT,O O O O O O entity O entity O O O O O O O O O O O O O O entity O
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,DET PROPN PROPN AUX VERB DET NOUN DET NOUN PART VERB CCONJ VERB DET NOUN NOUN NOUN PUNCT SPACE ADP NOUN ADP NOUN NOUN NOUN NOUN DET NOUN AUX VERB DET NOUN PART VERB DET DET VERB NOUN PART VERB DET NOUN NOUN NOUN PUNCT SPACE DET NOUN NOUN NOUN AUX DET NOUN PRON AUX VERB ADP NOUN VERB DET NOUN ADP DET NOUN PUNCT,O entity O O O O entity O O O O O entity O entity O O entity O
The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,DET PROPN PROPN AUX VERB DET NOUN PART VERB NUM ADJ NOUN ADP NOUN NOUN NOUN PUNCT SPACE DET NUM NOUN ADP NOUN NOUN NOUN AUX PUNCT X PUNCT NOUN ADP ADJ NOUN PUNCT X PUNCT NOUN ADP DET NOUN ADP DET NOUN CCONJ PUNCT X PUNCT NOUN ADP DET NOUN PUNCT DET NOUN VERB ADP NOUN PRON AUX VERB NOUN ADP DET NOUN ADJ ADP DET NOUN PRON AUX VERB ADP DET NOUN NOUN NOUN PRON AUX ADJ ADP DET NOUN NOUN PUNCT,O entity O O attr O O O entity O O entity O O O attr O O O O O entity O entity O O O O O O entity O
The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,DET PROPN PROPN AUX VERB ADJ NOUN ADP VERB ADJ NOUN PUNCT NOUN ADP ADJ NOUN AUX VERB ADP ADJ NOUN PUNCT,O O O O O O O O O O
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,DET PROPN PROPN AUX VERB DET NOUN ADP DET NOUN SCONJ DET NOUN ADP NOUN NOUN NOUN PRON VERB DET VERB NOUN PUNCT DET NOUN NOUN NOUN SPACE DET NOUN ADP NOUN VERB PUNCT VERB SPACE ADJ CCONJ NOUN PUNCT SPACE CCONJ DET NOUN PRON DET NOUN NOUN AUX ADJ PUNCT,O O O O O O entity O attr entity O attr entity O O entity O attr O attr O O O attr O O O attr entity O entity O O O entity O entity O O attr entity attr attr O O O O O
The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,DET PROPN PROPN AUX VERB DET NOUN PART VERB CCONJ VERB DET NOUN NOUN PUNCT SPACE DET NOUN AUX VERB DET NOUN PART VERB DET VERB NOUN PART VERB DET NOUN NOUN PUNCT DET NOUN NOUN VERB ADP DET VERB NOUN NOUN PRON AUX VERB ADP NOUN VERB SCONJ PRON NOUN AUX AUX VERB ADV SCONJ DET NOUN AUX VERB SCONJ DET VERB NOUN AUX ADJ PUNCT,O O O O O O O O O O O O O O entity O O entity O O O O O O attr O O O O O entity O O O
The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,DET PROPN PROPN AUX VERB DET NOUN ADP DET NOUN SCONJ DET NOUN ADP DET NOUN NOUN PUNCT DET NOUN AUX VERB DET VERB NOUN PUNCT DET NOUN NOUN NOUN SPACE DET NOUN ADP NOUN VERB PUNCT VERB CCONJ ADJ PUNCT SPACE CCONJ DET NOUN PRON DET NOUN NOUN AUX ADJ PUNCT,O entity O O O O O O O O O attr O entity O entity O O entity O O O O O entity attr O O O O O O
The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,DET PROPN PROPN AUX VERB DET NOUN ADP ADJ NOUN VERB NUM NOUN ADP DET NOUN PUNCT,O O O O O O entity O O entity O O entity O O entity O
The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,DET PROPN PROPN AUX ADV VERB DET NOUN ADP ADJ NOUN NOUN ADP DET VERB NOUN PUNCT SPACE DET NOUN ADP ADJ NOUN NOUN AUX AUX VERB VERB ADP DET NOUN ADP NOUN CCONJ DET NOUN PRON DET NOUN VERB ADP SPACE VERB ADP DET NOUN NOUN VERB ADP DET PROPN PROPN PUNCT,O entity O O O O O O O O O O entity O entity O O entity O O entity O O entity O O O O O O O O O O
The Disputes System must provide the ability to view existing dispute cases.,DET PROPN PROPN AUX VERB DET NOUN PART VERB VERB NOUN NOUN PUNCT,O O O O O O entity O O O O O O
The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,DET PROPN PROPN AUX VERB NOUN NOUN PUNCT SPACE DET NOUN NOUN AUX VERB DET NOUN PART VERB ADP PUNCT NUM PUNCT DET NOUN NOUN NOUN SPACE PUNCT X PUNCT DET NOUN NOUN NOUN SPACE PUNCT NUM PUNCT DET PROPN NOUN NOUN CCONJ PUNCT X PUNCT DET ADJ NOUN PUNCT SPACE ADP NOUN ADP DET ADJ NOUN SPACE DET NOUN NOUN AUX ADV VERB DET NOUN PART VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN SPACE DET NOUN ADP NOUN PUNCT NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT SPACE DET NOUN NOUN PUNCT ADJ SPACE ADJ CCONJ PRON PUNCT CCONJ DET NOUN NOUN NOUN PUNCT,O entity O O O O O entity entity O O relationship O entity O relationship O attr O O entity O O O attr O entity O entity O O O O O O O O O O O O O O O O O O O entity O attr attr
A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,DET NOUN ADP DET NOUN NOUN PRON VERB DET VERB NOUN NOUN AUX AUX VERB ADP DET NOUN PUNCT SPACE DET NOUN ADP NOUN AUX VERB DET NOUN CCONJ NOUN ADP DET NOUN ADP NOUN VERB DET NOUN NOUN ADP DET NOUN PUNCT SPACE ADP NOUN DET ADJ NOUN AUX AUX ADJ CCONJ DET ADJ NOUN AUX AUX ADJ PUNCT,O entity O O O O O O O O O O O O O O
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,DET PROPN PROPN AUX VERB DET NOUN DET NOUN PART VERB DET NOUN ADP DET NOUN PRON AUX VERB ADP DET NOUN NOUN PUNCT,O O O O O O O O entity O relationship O entity O O O O O O O O O O O
The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,DET PROPN PROPN AUX VERB DET NOUN ADP DET NOUN PART VERB ADP ADP DET NOUN NOUN ADP NOUN PUNCT ADP NOUN PUNCT SPACE DET NOUN ADP ADJ VERB ADP NOUN ADP DET VERB NOUN NOUN AUX AUX VERB ADP DET NOUN ADP DET NOUN CCONJ DET NOUN NOUN ADP DET NOUN PUNCT,O entity O O O O O O O relationship entity entity O O O O O entity O O entity O O O attr O O entity O
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,DET PROPN PROPN AUX VERB DET NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN PRON VERB CCONJ VERB DET NOUN NOUN ADP DET NOUN PUNCT SPACE DET ADJ NOUN ADP DET NOUN VERB ADP DET NOUN SPACE VERB DET NOUN CCONJ DET NOUN PRON VERB DET NOUN AUX AUX VERB ADP NOUN NOUN PUNCT,O O entity O O O O O O O O O entity attr O entity O relationship O entity O O O attr O O O
For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,ADP DET ADJ PUNCT NOUN NOUN NOUN VERB PUNCT NOUN PRON VERB ADP DET NOUN ADJ ADP DET NOUN VERB NOUN SPACE DET NOUN NOUN AUX AUX VERB PUNCT SPACE SCONJ DET ADJ NOUN DET NOUN PRON VERB DET NOUN NOUN AUX AUX VERB SCONJ DET ADJ NOUN AUX VERB ADP DET NOUN NOUN PUNCT,O O O entity O entity O relationship O O entity O O O O O O entity O O O O O entity O
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,DET NOUN NOUN AUX AUX VERB VERB ADP NOUN VERB ADP DET PROPN PROPN PROPN NOUN PUNCT,O O O O O O entity O O O O O O O O O O
Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,DET NOUN NOUN PRON AUX AUX VERB ADP ADP NUM NOUN AUX AUX VERB ADP DET ADJ NOUN VERB PUNCT,O O O O O O O O O O O O O O O O entity O O O
The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,DET NOUN AUX VERB ADP DET ADJ NOUN NOUN VERB NOUN SPACE NOUN NOUN SPACE CCONJ NOUN ADP NOUN PUNCT,O entity O O O O O O O relationship O O O O entity O O O
The vehicle data shall include vehicle year  make  and model,DET NOUN NOUN AUX VERB NOUN NOUN SPACE VERB SPACE CCONJ NOUN PUNCT,O O O O relationship O O O O entity O
The vehicle location shall include street address  city  state  and zipcode,DET NOUN NOUN AUX VERB NOUN NOUN SPACE NOUN SPACE NOUN SPACE CCONJ NOUN PUNCT,O O O O relationship entity O attr O O entity O
The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,DET NOUN AUX VERB DET NOUN ADP DET NOUN NOUN SPACE NOUN SPACE CCONJ NOUN SCONJ PROPN AUX ADJ PUNCT,O O O O O entity O O entity O attr O entity O entity O O O
The search radius shall be between 1 and 30 miles,DET NOUN NOUN AUX AUX ADP NUM CCONJ NUM NOUN PUNCT,O entity O O O O O O O O O
The system shall locate the preferred repair facility with the highest ratings for the input criteria,DET NOUN AUX VERB DET ADJ NOUN NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN PUNCT,O O O O O O O O O O O O O O O O O
The adjuster shall enter the preferred repair facility on the estimate assignment.,DET NOUN AUX VERB DET ADJ NOUN NOUN ADP DET NOUN NOUN PUNCT,O entity O O O O O O O O O O O
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,DET NOUN AUX AUX ADJ PART VERB DET ADJ NOUN NOUN ADP DET NOUN NOUN PUNCT,O entity O O O O O O O O O O O O O O
The preferred repair facility shall be returned to the user.,DET ADJ NOUN NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O O entity O
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,DET NOUN AUX VERB DET NOUN ADP NOUN NOUN ADP DET NOUN SCONJ DET ADJ NOUN NOUN AUX PART AUX VERB PUNCT,O O O O O entity O O O O O entity O O O O O O O O O O
The estimator shall search for available recycled parts using damaged vehicle parts information.,DET NOUN AUX VERB ADP ADJ VERB NOUN VERB VERB NOUN NOUN NOUN PUNCT,O entity O O O O O O O O O O O O
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,DET NOUN AUX VERB ADP ADJ VERB NOUN VERB DET NOUN ADP ADJ NOUN NOUN PUNCT,O entity O O O O O O O O entity O O O O O
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,DET NOUN AUX VERB ADP ADJ VERB NOUN ADP DET VERB NOUN NOUN CCONJ NOUN PUNCT,O O O O O O O O O O O O O O O O
The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,DET NOUN AUX VERB ADP NOUN ADP DET NOUN ADP NUM NOUN SCONJ DET NOUN AUX VERB ADP DET ADJ NOUN NOUN PUNCT,O entity O O O attr O O entity O O O O attr attr O O O O O attr O O
The system shall retain the available recycled parts and suppliers returned from the search.,DET NOUN AUX VERB DET ADJ VERB NOUN CCONJ NOUN VERB ADP DET NOUN PUNCT,O O O O O O O O O O O O O entity O
The available recycled parts information and their suppliers shall be returned to the user.,DET ADJ VERB NOUN NOUN CCONJ PRON NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O O O O O O entity O
The estimator shall apply selected recycled parts to the collision estimate.,DET NOUN AUX VERB VERB VERB NOUN ADP DET NOUN NOUN PUNCT,O entity O O O O O O O O O O
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,DET NOUN AUX PART VERB ADJ NOUN ADP DET NOUN NOUN SCONJ DET ADJ NOUN AUX VERB PUNCT,O entity O O O O O O O O O O O attr O O O O
The adjuster shall review the collision estimate.,DET NOUN AUX VERB DET NOUN NOUN PUNCT,O entity O relationship O O O O
The adjuster shall request a recycled parts audit of the collision estimate.,DET NOUN AUX VERB DET VERB NOUN NOUN ADP DET NOUN NOUN PUNCT,O entity O O O O O attr O O O O O
The recycled parts search results provided to the estimator shall be retrieved by the system.,DET ADJ NOUN NOUN NOUN VERB ADP DET NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O entity O O O O O O O
The system shall generate an audit report based on the available recycled parts and the collision estimate.,DET NOUN AUX VERB DET NOUN NOUN VERB ADP DET ADJ VERB NOUN CCONJ DET NOUN NOUN PUNCT,O O O O O O O O O O O O O O O O O O
The audit report shall include the total number of recycled parts used in the estimate.,DET NOUN NOUN AUX VERB DET ADJ NOUN ADP VERB NOUN VERB ADP DET NOUN PUNCT,O O O O O O O entity O O O O O O entity O
The audit report shall include the number of available recycled parts from the original search results.,DET NOUN NOUN AUX VERB DET NOUN ADP ADJ VERB NOUN ADP DET ADJ NOUN NOUN PUNCT,O O O O relationship O entity O O O O O O O O O O
The audit report shall include the percentage of available recycled parts used in the estimate,DET NOUN NOUN AUX VERB DET NOUN ADP ADJ VERB NOUN VERB ADP DET NOUN PUNCT,O O O O relationship O entity O O O O O O O entity O
The audit report shall include the total score of the audit which sums the indivual line items.,DET NOUN NOUN AUX VERB DET ADJ NOUN ADP DET NOUN PRON VERB DET ADJ NOUN NOUN PUNCT,O entity O O O O O entity O O entity O O O O O O O
The audit report shall be displayed to the user.,DET NOUN NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O entity O
The audit report shall be available to other adjusters at later points in time.,DET NOUN NOUN AUX AUX ADJ ADP ADJ NOUN ADP ADJ NOUN ADP NOUN PUNCT,O O O O O O O O O O O O O entity O
The user shall select to view the preferred repair facility ratings.,DET NOUN AUX VERB PART VERB DET ADJ NOUN NOUN NOUN PUNCT,O entity O O O O O O O O O O
The current repair facility ratings shall be displayed to the user.,DET ADJ NOUN NOUN NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O O O entity O
The system will display a blank set of ratings if there are not ratings yet defined.,DET NOUN AUX VERB DET ADJ NOUN ADP NOUN SCONJ PRON VERB PART NOUN ADV VERB PUNCT,O O O O O O entity O O O O O O O O O O
The user shall enter new ratings based on the audit report,DET NOUN AUX VERB ADJ NOUN VERB ADP DET NOUN NOUN PUNCT,O entity O O O O O O O O O O
The ratings shall be from a scale of 1-10,DET NOUN AUX AUX ADP DET NOUN ADP NUM SYM NUM PUNCT,O O O O O O entity O O O
The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,DET NOUN AUX VERB NOUN ADP VERB NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP ADJ NOUN PUNCT,O O O relationship O O O entity O O O O O entity O O O O
The user shall select to save the preferred repair facility ratings.,DET NOUN AUX VERB PART VERB DET ADJ NOUN NOUN NOUN PUNCT,O entity O O O O O O O O O O
The preferred repair facility ratings shall be saved by the system.,DET ADJ NOUN NOUN NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O O O O O
The product shall record meeting entries.,DET NOUN AUX VERB NOUN NOUN PUNCT,O entity O O O O O
The product will notify employees of meeting invitations.,DET NOUN AUX VERB NOUN ADP VERB NOUN PUNCT,O entity O relationship attr O O O O
The product shall have the ability to send meeting reminders to employees.,DET NOUN AUX VERB DET NOUN PART VERB NOUN NOUN ADP NOUN PUNCT,O entity O relationship O entity O O O O O O O
The product shall assign the organizers contact information to each meeting they create.,DET NOUN AUX VERB DET NOUN VERB NOUN ADP DET NOUN PRON VERB PUNCT,O entity O relationship O O O O O O entity O O O
The product will record meeting acknowledgements.,DET NOUN AUX VERB NOUN NOUN PUNCT,O entity O O O O O
The product shall store new conference rooms.,DET NOUN AUX VERB ADJ NOUN NOUN PUNCT,O entity O O O O O O
The product shall update existing conference rooms.,DET NOUN AUX VERB VERB NOUN NOUN PUNCT,O entity O O relationship O O O
The product will be able to delete conference rooms.,DET NOUN AUX AUX ADJ PART VERB NOUN NOUN PUNCT,O entity O O O O relationship O O O
The product shall be able to store new room equipment.,DET NOUN AUX AUX ADJ PART VERB ADJ NOUN NOUN PUNCT,O entity O O O O O O O O O
The product will update existing room equipment.,DET NOUN AUX VERB VERB NOUN NOUN PUNCT,O entity O O O O O O
The product shall be able to delete room equipment.,DET NOUN AUX AUX ADJ PART VERB NOUN NOUN PUNCT,O entity O O O O relationship O O O
The product shall allow an organizer to invite other employees to meetings.,DET NOUN AUX VERB DET NOUN PART VERB ADJ NOUN ADP NOUN PUNCT,O entity O relationship O entity O O O O O O O
Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,DET NOUN DET NOUN NOUN AUX VERB SPACE DET NOUN NOUN NOUN AUX AUX VERB PART VERB DET NOUN CCONJ NOUN ADP DET NOUN PUNCT,O entity O O O O relationship O O O O O O O O relationship O entity O entity O O entity O
The product shall record the transportation status of equipment reserved.,DET NOUN AUX VERB DET NOUN NOUN ADP NOUN VERB PUNCT,O entity O relationship O O attr O entity O O
The product shall display a map of the company building showing conference room locations.,DET NOUN AUX VERB DET NOUN ADP DET NOUN NOUN VERB NOUN NOUN NOUN PUNCT,O entity O relationship O entity O O O O O O O O O
The product shall record updated meeting agendas.,DET NOUN AUX VERB VERB NOUN NOUN PUNCT,O entity O O O O O O
The product shall send a meeting confirmation to the meeting organizer.,DET NOUN AUX VERB DET NOUN NOUN ADP DET NOUN NOUN PUNCT,O entity O relationship O O O O O O O O
The product shall display room equipment according to search parameters.,DET NOUN AUX VERB NOUN NOUN VERB ADP NOUN NOUN PUNCT,O entity O relationship O O O O O O O
The product shall display conference rooms according to search parameters.,DET NOUN AUX VERB NOUN NOUN VERB ADP NOUN NOUN PUNCT,O entity O relationship O O O O O O O
The product shall record different meeting types.,DET NOUN AUX VERB ADJ NOUN NOUN PUNCT,O entity O O O O O O
The product shall record all the equipment that has been reserved.,DET NOUN AUX VERB DET DET NOUN PRON AUX AUX VERB PUNCT,O entity O O O O entity O O O O O
The product shall notify building personnel of equipment transport requests.,DET NOUN AUX VERB VERB NOUN ADP NOUN NOUN NOUN PUNCT,O entity O relationship O attr O O O O O
The product will allow priviledged users to view meeting schedules in multiple reporting views.,DET NOUN AUX VERB ADJ NOUN PART VERB VERB NOUN ADP ADJ NOUN NOUN PUNCT,O entity O O relationship O O O O O O O O O O
The product shall be able to send meeting notifications via different kinds of end-user specified methods.,DET NOUN AUX AUX ADJ PART VERB NOUN NOUN ADP ADJ NOUN ADP NOUN PUNCT NOUN VERB NOUN PUNCT,O entity O O O O O O O O O attr O entity relationship O O
The product shall have a customizable Look and Feel.,DET NOUN AUX VERB DET ADJ NOUN CCONJ VERB PUNCT,O entity O O O O O O O O
The product shall have an intuitive user interface.,DET NOUN AUX VERB DET ADJ NOUN NOUN PUNCT,O entity O O O O O O O
The product will display an available status for unreserved conference rooms.,DET NOUN AUX VERB DET ADJ NOUN ADP ADJ NOUN NOUN PUNCT,O entity O O O O entity O O O O O
The System shall allow generation of Inventory Quantity Adjustment documents on demand.,DET PROPN AUX VERB NOUN ADP PROPN PROPN PROPN NOUN ADP NOUN PUNCT,O O O O entity O O O O O O entity O
The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,DET PROPN AUX VERB ADP NOUN NOUN ADP DET PROPN PROPN PROPN NOUN SCONJ ADJ NOUN ADP NOUN PUNCT,O O O O O O O O O O O O O O O entity O entity O
The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,DET PROPN NOUN AUX VERB ADP NOUN ADJ NOUN NOUN CCONJ VERB NOUN ADP ADJ NOUN ADV PUNCT,O O entity O O O attr O entity O O O entity O O O O O
The System shall allow entering  storing and modifying product formulas.,DET PROPN AUX VERB VERB SPACE VERB CCONJ VERB NOUN NOUN PUNCT,O O O O O O O O O O O
Product formulas shall allow use of semi-products  which have own formulas.,NOUN NOUN AUX VERB NOUN ADP NOUN NOUN NOUN SPACE PRON VERB ADJ NOUN PUNCT,O O O O entity O entity O O relationship O O
Product formula ingredients shall allow defining substitutionary ingredients.,NOUN NOUN NOUN AUX VERB VERB ADJ NOUN PUNCT,O O O O O entity O O O
Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,NOUN NOUN ADJ NOUN AUX AUX VERB ADV ADP DET PROPN NOUN PUNCT,O entity O O O O O O O O O entity O
Formula substitutionary ingredients shall be kept in persisted order,NOUN ADJ NOUN AUX AUX VERB ADP ADJ NOUN PUNCT,O O O O O O O O entity O
